iter	Logloss
0	0.6650359575
1	0.6418992212
2	0.6198347038
3	0.6039703695
4	0.5869755883
5	0.5717155053
6	0.5580943796
7	0.5452558631
8	0.5347327516
9	0.523425102
10	0.512859311
11	0.5045941061
12	0.4972303144
13	0.4893189042
14	0.4818580871
15	0.4748309154
16	0.4699171703
17	0.4655432245
18	0.4611332908
19	0.4563220002
20	0.452487729
21	0.4486031897
22	0.4443492106
23	0.4410652989
24	0.4373354863
25	0.434585676
26	0.4321223563
27	0.4289619219
28	0.4278765452
29	0.4269958666
30	0.4257191187
31	0.4238785265
32	0.4218694518
33	0.4201431225
34	0.4181648706
35	0.4176219093
36	0.4171170507
37	0.4157722198
38	0.4144921127
39	0.4136100732
40	0.4121466332
41	0.4108418249
42	0.4100176243
43	0.4089804616
44	0.4074174745
45	0.4069437521
46	0.4059488378
47	0.4045445374
48	0.4036777791
49	0.4031135197
50	0.4027488381
51	0.4014507448
52	0.4000957134
53	0.3996226369
54	0.3984911711
55	0.3976956837
56	0.3976389897
57	0.3971311741
58	0.396819206
59	0.3961308418
60	0.3959372298
61	0.3947054144
62	0.3943138135
63	0.3936556469
64	0.3923498573
65	0.39112731
66	0.3910763678
67	0.3907205361
68	0.3900029103
69	0.389541146
70	0.389401564
71	0.3884754588
72	0.3879975571
73	0.3875756599
74	0.386110857
75	0.3857121927
76	0.385336768
77	0.3852941654
78	0.3844892254
79	0.3840046406
80	0.3835903768
81	0.3826873147
82	0.3822241154
83	0.3816378328
84	0.3815411489
85	0.3805292073
86	0.3801596116
87	0.380107766
88	0.3799685586
89	0.3799346239
90	0.3798081842
91	0.3797669827
92	0.3795542549
93	0.3787437309
94	0.3782982113
95	0.3778454882
96	0.3777096819
97	0.3772277802
98	0.3764156384
99	0.3763919966
