iter	Passed	Remaining
0	29	2933
1	57	2839
2	79	2567
3	84	2031
4	116	2219
5	146	2302
6	176	2345
7	190	2196
8	220	2225
9	239	2158
10	258	2091
11	273	2003
12	287	1925
13	315	1938
14	352	1997
15	376	1975
16	398	1945
17	425	1936
18	463	1975
19	495	1980
20	540	2032
21	580	2059
22	607	2033
23	639	2026
24	666	2000
25	695	1980
26	728	1968
27	760	1955
28	794	1946
29	826	1927
30	849	1890
31	880	1871
32	913	1853
33	950	1844
34	987	1833
35	1025	1823
36	1041	1773
37	1072	1750
38	1102	1724
39	1132	1699
40	1163	1674
41	1193	1648
42	1224	1622
43	1255	1597
44	1287	1573
45	1308	1535
46	1339	1510
47	1371	1485
48	1402	1459
49	1432	1432
50	1448	1391
51	1478	1365
52	1508	1338
53	1538	1310
54	1569	1284
55	1599	1256
56	1625	1226
57	1652	1196
58	1680	1167
59	1707	1138
60	1734	1108
61	1761	1079
62	1789	1050
63	1818	1023
64	1845	993
65	1874	965
66	1889	930
67	1918	902
68	1946	874
69	1974	846
70	1984	810
71	2011	782
72	2039	754
73	2070	727
74	2100	700
75	2129	672
76	2162	646
77	2181	615
78	2211	587
79	2239	559
80	2268	532
81	2296	504
82	2324	476
83	2352	448
84	2375	419
85	2409	392
86	2441	364
87	2463	335
88	2496	308
89	2525	280
90	2555	252
91	2575	223
92	2603	195
93	2630	167
94	2661	140
95	2693	112
96	2729	84
97	2760	56
98	2790	28
99	2805	0
